English Word,Persian Translation,Encyclopedia Translation,User Suggestion
multimodal distribution,توزیع چندمُدی,,
multinomial,بسجمله‌ای,,
multinomial distribution → polynomial distribution,,,
multinomial expression,عبارت بسجمله‌ای,,
multinomial population,جامعۀ چندجمله‌ای,,
multinomial theorem,قضیۀ بسجمله‌ای,,
multinomial trials,‎آزمایه‌های چندجمله‌ای,,
multipartite graph,گراف چندبخشی,,
multiple,مضرب,,
multiple regression,رگرسیون چندگانه,,
multiple classification,رده‌بندی چندگانه,,
multiple confidence interval,بازۀ اطمینان چندگانه,,
multiple correlation coefficient,ضریب همبستگی چندگانه,,
multiple edge,یال چندگانه,,
multiple integral,انتگرال چندگانه,,
multiple mathematical induction,استقرای ریاضی چندگانه,,
multiple point,نقطۀ چندگانه,,
multiple pole,قطب چندگانه,,
multiple root = multiple zero,ریشۀ چندگانه,,
multiple sampling,نمونه‌گیری چندگانه,,
multiple sampling plan,طرح نمونه‌گیری چندگانه,,
multiple stratification,طبقه‌بندی چندگانه,,
multiple sum,مجموع چندگانه,,
multiple tangent,مماس چندگانه,,
multiple zero → multiple root,,,
multiple-valued function,تابع چندمقداری,,
multiplicand,مضروب,,
multiplication,ضرب,,
multiplication identity = identity for multiplication,همانی ضربی,,
multiplication law of probability,قانون ضرب احتمال,,
multiplication of determinants,ضرب دترمینان‌ها,,
multiplication of matrices,ضرب ماتریس‌ها,,
multiplication of series,ضرب سری‌ها,,
multiplicative congruence,همنهشتی ضربی,,
multiplicative function,تابع ضربی,,
multiplicative functional,تابعک ضربی,,
multiplicative group,گروه ضربی,,
multiplicative identity,همانی ضربی,,
multiplicative inverse,وارون ضربی,,
multiplicative left inverse,وارون ضربی چپ,,
multiplicative model,مدل ضربی,,
multiplicative right inverse,وارون ضربی راست,,
multiplicative semigroup,نیم‌گروه ضربی,,
multiplicative time series,سری زمانی ضربی,,
multiplicative valuation,ارزهْ ضربی,,
multiplicator → multiplier 2,,,
multiplicity of root,چندگانگی ریشه,,
multiplicity set → set of mulliplicity,,,
multiplier 1,ضریب,,
multiplier 2 = multiplicator,مضروبٌ فیه,,
multiply connected domain,دامنۀ چندگانه‏همبند,,
multiply connected set,مجموعۀ چندگانه‌همبند,,
multiply connected space,فضای چندگانه‌همبند,,
multiply transitive permutation group,گروه جایگشتی چندگانه‏ترایا,,
multipolar coordinates,مختصات چندقطبی,,
multi-sample hypothesis,فرض چندنمونه‌ای,,
multiset,چندمجموعه,,
multistage allocation process,فرایند تخصیص چندمرحله‌ای,,
multistage sampling,نمونه‌گیری چندمرحله‌ای,,
multi-stage test,آزمون چند مرحله‌ای,,
multivalent function,تابع چندارز، تابع یک‌به‏چند,,
multivalent logic → many-valued logic,,,
multivalent function → many-valued function,,,
multivariate Bernoulli density,چگالی برنولی چندمتغیره,,
multivariate data,داده‌های چندمتغیره,,
multivariate distribution,توزیع چندمتغیره,,
multivariate distribution function,تابع توزیع چندمتغیره,,
multivariate normal distribution,توزیع نرمال چندمتغیره,,
multivariate normal mixtures,آمیخته‌های نرمال چندمتغیره,,
multivariate regression,رگرسیون چندمتغیره,,
multivariate transformation,تبدیل چندمتغیره,,
mutually dependent variables,متغیرهای دو‌به‌دو وابسته,,
mutually exclusive events,پیشامدهای دوبه‌دو ناسازگار,,
nabla operator,عملگر نابلا,,
nadir,سمت القدم,,
naive set theory,نظریۀ طبیعی مجموعه‌ها,,
Napier = Neper,نپر,,
Napier number,عدد نپر,,
Napier rule,قاعدۀ نپر,,
Napierian logarithm,لگاریتم نپری,,
n-ary composition,ترکیب n تایی,,
n-ary forms,صورت‌های n تایی,,
n-ary relation,رابطۀ n تایی,,
Nash equilibrium,تعادل نش,,
natural boundary,مرز طبیعی,,
natural equation of a curve,معادلۀ طبیعی خم,,
natural equation of a surface,معادلۀ طبیعی رویه,,
natural geometry,هندسۀ طبیعی,,
natural homomorphism,همریختی طبیعی,,
natural injection,نگاشت یک‌به‌یک طبیعی,,
natural logarithm,لگاریتم طبیعی,,
natural model,مدل طبیعی,,
natural number,عدد طبیعی,,
natural sequence → sequence of natural numbers,,,
natural surjection,نگاشت پوشای طبیعی,,
natural transformation,تبدیل طبیعی,,
naught,صفر,,
n-cell,n- خانه,,
n-connected graph,گراف n-گانه همبند,,
n-dimensional Euclidean geometry,هندسه اقلیدسی n بُعدی,,
n-dimensional space,فضای n بُعدی,,
n-factorial = factorial n,n فاکتوریل، n عاملی,,
necessary and sufficient condition,شرط لازم و کافی,,
necessary condition,شرط لازم,,
necessity,لزوم,,
negation 1,نفی,,
negation 2,نفیض,,
negation of a proposition,نقیض گزاره,,
negative angle,زاویۀ منفی,,
negative binomial distribution,توزیع دوجمله‌ای منفی,,
negative curvature,خمیدگی منفی,,
negative definite form,صورت معین ‌منفی,,
negative definite matrix,ماتریس معین ‌منفی,,
negative infinity = minus infinity,منهای بی‌نهایت,,
negative integer,عدد صحیح منفی,,
negative multinomial distribution,توزیع چندجمله‌ای منفی,,
negative number,عدد منفی,,
negative orbit,مدار منفی,,
negative part of a function,جزء منفی تابع,,
negative root,ریشۀ منفی,,
negative semidefinite quadratic form,صورت درجۀ دوم نیمه‏معین منفی,,
negative sign,علامت منفی,,
negative skewness,چولگی منفی,,
negative variation of a mapping,وردش منفی نگاشت,,
neighborhood,همسایگی,,
neighborhood axioms,اصل موضوع‌های همسایگی,,
neighborhood basis,پایۀ همسایگی,,
neighborhood of a point = vicinity of a point,همسایگی نقطه,,
neighborhood system,دستگاه همسایگی‌ها,,
Neper → Napier,,,
nephroid,خم کلیه‏شکل,,
nested intervals,بازه‌های تودرتو,,
nested sets,مجموعه های تودرتو,,
net,تور,,
net profit,سود خالص,,
network,شبکه,,
network sampling,نمونه‌گیری شبکه‌ای,,
network theory,نظریۀ شبکه‌ها,,
Neumann boundary condition,شرط مرزی نویمان,,
Neumann function,تابع نویمان,,
Neumann line,خط نویمان,,
Neumann problem,مسألۀ نویمان,,
Neumann series,سری نویمان,,
neutral element,عنصر خنثی,,
neutral surface,رویۀ خنثی,,
Nevanlinna first fundamental theorem,اولین قضیۀ بنیادی نوانلینا,,
Nevanlinna theory,نظریۀ نوانلینا,,
Newton diagram,نمودار نیوتون,,
Newton identities,اتحادهای نیوتون,,
Newton law of gravitation,قانون گرانش نیوتون,,
Newton method,روش نیوتون,,
Newton three laws of motion,سه قانون حرکت نیوتون,,
Newtonian capacity,گنجایش نیوتونی,,
Newton-Raphson method,روش نیوتون- رافسون,,
Neyman allocation,تخصیص نیمنی,,
n-factorial = factorial n,n-فاکتوریل، عاملی n,,
nilalgebra,پوچ جبر,,
nilpotent element,عنصر پوچ‌توان,,
nilpotent group,گروه پوچ‏توان,,
nilpotent ideal,ایده‏آل پوچ‏توان,,
nilpotent matrix,ماتریس پوچ‌توان,,
nilpotent residual,ماندۀ پوچ‌توان,,
nilradical of a ring,پوچ‏رادیکال حلقه,,
nine points circle,دایرۀ نُه‌ نقطه,,
n-manifold,خمینۀ n بُعدی,,
nodal cubic curve,خم درجۀ سوم گرهی,,
nodal line,خط گرهی,,
nodal surface,رویۀ گرهی,,
no-data decision,تصمیم بدون داده,,
node = crunode,گره,,
node of a linear graph,گره گراف خطی,,
Noetherian domain,دامنه نوتری,,
Noetherian module,مدول نوتری,,
Noetherian ring,حلقۀ نوتری,,
noise,نوفه,,
noiseless sample,نمونۀ بی‌نوفه,,
noisy sample,نمونۀ نوفه‌دار,,
nominal rate of interest,نرخ بهرۀ اسمی,,
nominalism,نامگرایی,,
nomogram,نوموگرام، فرمول‌نگاشت,,
nonadditivity test,آزمون ناجمعی بودن,,
nonagon,نُه ضلعی,,
non-Archimedean valuation,ارزۀ ناارشمیدسی,,
nonassociative algebra,جبر شرکت‌ناپذیر,,
nonatomic Boolean algebra,جبر بولی نااتمی,,
nonatomic measure space,فضای اندازۀ نااتمی,,
nonautonomous differential equation,معادلۀ دیفرانسیل ناخودگردان,,
noncentral chi-square distribution,توزیع خی دوی نامرکزی,,
noncentral distribution,توزیع نامرکزی,,
noncentral quadrics,رویه‌های درجۀ دوم بی‌مرکز,,
noncommutative algebra,جبر ناجابه‏جایی,,
noncommutative multiplication,ضرب ناجابه‌جایی,,
noncommutative ring,حلقۀ ناجابه‌جایی,,
nondecreasing function,تابع نانزولی,,
nondegenerate divisor,مقسوم علیه ناتباهیده,,
nondegenerate form,صورت ناتباهیده,,
nondegenerate quadratic form,صورت درجۀ دوم ناتباهیده,,
nondeleted limit,حد ناسوده,,
nondense set = rare set,مجموعۀ ناچگال,,
nondenumerable set,مجموعۀ ناشمارا,,
non-Desarguesian geometry,هندسۀ نا-دزارگی,,
nondimentional parameter,پارامتر بیبعد,,
non-Euclidean geometry,هندسۀ نااقلیدسی,,
non-Euclidean space,فضای نااقلیدسی,,
nonexperimental study → observational study,,,
nongenerator,نامولد,,
nonhomogeneous difference equation → inhomogeneous difference equation,,,
nonincreasing function,تابع ناصعودی,,
noninvertible matrix,ماتریس وارون ناپذیر,,
nonlinear equation,معادلۀ ناخطی,,
nonlinear regression,رگرسیون ناخطی,,
nonmeager set,مجموعه ناخُرد,,
nonmeasurable function,تابع اندازه‌ناپذیر,,
nonnegative semidefinite matrix,ماتریس نیمه‌معین نامنفی,,
nonorientability,جهت‌ناپذیری,,
nonorientable surface,رویۀ جهت‏ناپذیر,,
nonoverlapping intervals,بازه‌های ناهمپوش,,
nonparametric method,روش ناپارامتری,,
nonparametric statistics,آمار ناپارامتری,,
nonparametric test,آزمون ناپارامتری,,
nonplanar graph,گراف ناهامنی,,
nonrandomized decision function,تابع تصمیم تصادفی‌نشده,,
nonrecurrent Markov chain,زنجیر مارکوف نابازگشتی,,
nonreflexsive relation,رابطۀ نابازتابی,,
nonremovable discontinuity,ناپیوستگی رفع نشدنی، ناپیوستگی نابرداشتنی,,
nonsampling error,خطای غیرنمونه‌گیری,,
nonsingular linear transformation,تبدیل خطی ناتکین,,
nonsingular matrix = regular matrix,ماتریس ناتکین,,
nonsingular point of a variety,نقطۀ ناتکین چندگونا,,
nonsingular variety,چندگونای ناتکین,,
nonstandard natural number,عدد طبیعی نامتعارف,,
nonstandard real number,عدد حقیقی نامتعارف,,
nonstationary oscillation,نوسان نامانا,,
nonstationary queue,صف نامانا,,
nonsymmetric matrix,ماتریس نامتقارن,,
nonsymmetric relation,رابطۀ نامتقارن,,
nonterminating decimal,عدد دهدهی نامختوم، عدد اعشاری نامختوم,,
nontransitive relation = intransitive relation,رابطۀ ناترایا,,
nontrivial solution,جواب نابدیهی، جواب ناصفر,,
nonwandering point,نقطۀ ناسرگردان,,
nonzero entry,درایۀ ناصفر,,
norm,نرم، هنج,,
norm attaining functional,تابعک نرم‌گیر، تابعک هنج‌گیر,,
norm of a functional,نرم تابعک,,
norm of a vector = absolute value of a vector = length of a vector = modulus of a vector = numerical value of a vector,نرم بردار، طول بردار، بزرگی بردار,,
norm topology,توپولوژی نرمی,,
normable topological vector space,فضایبُرداری توپولوژیک نرم‌پذیر، فضای بُرداری توپولوژیک هنج‌پذیر,,
normal 1,نرمال، بهنجار,,
normal 2,قائم,,
normal acceleration,شتاب قائم، شتاب عمودی,,
normal axis,محور قائم,,
normal basis,پایۀ نرمال,,
normal bundle,کلاف نرمال,,
normal chain,زنجیر نرمال,,
normal component,مولفۀ قائم,,
normal continued fraction,کسر مسلسل نرمال,,
normal coordinates,مختصات نرمال,,
normal curvature,خمیدگی نرمال,,
normal curve,خم نرمال,,
normal curve of error,خم نرمال خطا,,
normal density function,تابع چگالی نرمال,,
normal derivative,مشتق قائم,,
normal deviates,انحراف‌های نرمال,,
normal distribution,توزیع نرمال,,
normal divisor → normal subgroup,,,
normal equations,معادله‌های نرمال,,
normal extension,گسترش نرمال,,
normal family,خانوادۀ نرمال,,
normal form of differential equation,صورت نرمال معادلهْ دیفرانسیل,,
normal function,تابع نرمال,,
normal function of ordinal numbers,تابع نرمال عددهای ترتیبی,,
normal line,خط قائم,,
normal matrix,ماتریس نرمال,,
normal operator,عملگر نرمال,,
normal order,ترتیب طبیعی,,
normal plane,صفحۀ قائم,,
normal probability curve,خم احتمال نرمال,,
normal probability paper,کاغذ احتمال نرمال,,
normal random variable,متغیر تصادفی نرمال,,
normal section,مقطع قائم,,
normal space,فضای نرمال,,
normal stress,تنش قائم,,
normal subgroup = normal divisor,زیرگروه نرمال,,
normal to a curve,قائم بر خم,,
normal to a surface,قائم بر رویه,,
normal transformation,تبدیل نرمال,,
normal vector,بردار قائم,,
normal vector bundle,کلاف برداری نرمال,,
normal vector field,میدان برداری قائم,,
normality,نرمال بودن,,
normalization,نرمال‌سازی,,
normalized equation of a line,معادلۀ نرمال خط,,
normalized function,تابع نرمال‌شده,,
normalized random variable,متغیر تصادفی نرمال‌شده,,
normalized sample,نمونۀ نرمال‌شده,,
normalized section,بخش نرمال‏شده,,
normalizer,نرمال‌ساز، به‌هنجارساز,,
normalizer of a subset of a group,نرمال‌ساز زیرمجموعۀ گروه,,
normalizing transformation,تبدیل نرمال‌گر، تبدیل نرمال‌ساز‌,,
normed algebra,جبر نرم‌دار، جبر هنجیده,,
normed linear space,فضای خطی نرم‌دار,,
normed ring,حلقۀ نرم‌دار,,
normed space,فضای نرم‌دار,,
normed vector lattice,مشبّکۀ برداری نرم‌دار,,
north pole,قطب شمال,,
not function,تابع نفی,,
notation 1,نمادگذاری,,
notation 2,نمادگان,,
nowhere dense set,مجموعۀ همه‌جا ناچگال,,
nowhere differentiable function,تابع همه‌جا مشتق‌ناپذیر,,
NP-complete problem,مسئلۀ NP تمام,,
n-person game,بازی n نفره,,
n-space,n-فضا,,
nth-variation,n امین وردش، وردش n ام,,
n-times differentiable function,تابع n بار مشتق‌‌پذیر,,
n-tuple,تایی,,
nuclear class,ردۀ هسته‏ای,,
nuclear operator,عملگر هسته‌ای,,
nuclear space,فضای هسته‌ای,,
nuisance parameter,پارامتر مزاحم,,
null function,پوچ‌تابع,,
null graph = empty graph,پوچ‌گراف,,
null hypothesis,فرض صفر,,
null matrix → zero matrix,,,
null object → zero object,,,
null sequence,پوچ‌دنباله,,
null set 1 → empty set,,,
null set 2,پوچ‌‏مجموعه,,
null space,پوچ‌فضا,,
null vector → zero vector,,,
null-homotopic map,نگاشت پوچ هم‌جای,,
nullity,پوچه,,
nullity of a linear mapping,پوچۀ نگاشت خطی,,
nullity of a matrix,پوچۀ ماتریس,,
Nullstellensutz = zeros theorem,قضیۀ صفرها,,
number,عدد,,
number field,میدان عددی,,
number plane,صفحۀ اعداد,,
number system,دستگاه اعداد,,
number theory,نظریۀ اعداد,,
numeral system → numeration system,,,
numeration,شمار، شمارش,,
numeration system = numeral system,دستگاه شمار، دستگاه عددنویسی، دستگاه اعداد,,
numerator of a fraction,صورت کسر,,
numerial value of a vector → norm of a vector,,,
numerical analysis,آنالیز عددی,,
numerical computation,محاسبات عددی,,
numerical differentiation,مشتق‌گیری عددی,,
numerical instability,ناپایداری عددی,,
numerical integration = numerical quadrature,انتگرال‌گیری عددی,,
numerical methods,روش‌های عددی,,
numerical quadrature → numerical integration,,,
numerical range,برد عددی,,
numerical solution,حل عددی,,
numerical solution of algebraic equations,حل عددی معادله‌های جبری,,
numerical stability,پایداری عددی,,
nutation,رقص محوری، ناوش,,
n-web,n-تافته,,
object,شیء,,
objective function,تابع هدف,,
objective probability,احتمال عینی,,
objective regression,رگرسیون عینی,,
oblate ellipsoid → flattened ellipsoid,,,
oblique angle,زاویۀ ناقائمه,,
oblique axonometry,محورسنجی مایل,,
oblique circular cone,مخروط مستدیر مایل,,
oblique circular cylinder,استوانۀ مستدیر مایل,,
oblique coordinates,مختصات مایل,,
oblique parallelepiped,متوازی‌السطوح مایل,,
oblique prism,منشور مایل,,
oblique projection,تصویر مایل,,
oblique pyramid,هرم مایل,,
oblique triangle,مثلث ناقائم,,
observation 1,مشاهده,,
observation 2,رصد,,
observational study = nonexperimental study,مطالعۀ مشاهده‌ای,,
observatory,رصدخانه,,
obtuse angle,زاویۀ منفرجه، زاویۀ باز,,
obtuse triangle,مثلث منفرجه,,
occupancy theory,نظریۀ اشغال,,
octagon,هشت ضلعی,,
octahedral group,گروه هشت‌وجهی,,
octahedron,هشت‌وجهی,,
octal number system,دستگاه اعداد هشت‌هشتی,,
octanion,هشتگان,,
octanion algebra,جبر هشتگان‌ها، جبرهشتگانی,,
octant,هشت‌یک، یک‌هشتم,,
odd function,تابع فرد,,
odd number,عدد فرد,,
odd permutation,جایگشت فرد,,
odds ratio,نسبت بخت‌ها,,
ogive,تاقدیس,,
one-dimensional probability distribution,توزیع احتمال یک‌بُعدی,,
one-parameter group,گروه یک‌پارامتری,,
one-parameter subgroup,زیرگروه یک‏پارامتری,,
one-point compactification 1,فشرده‌ ساخت یک‌نقطه‌ای,,
one-point compactification 2,فشرده‌سازی یک‏نقطه‌ای,,
one-sample inference,استنباط یک‏نمونه‌ای,,
one-sample problem,مسألۀ یک‏نمونه‌ای,,
one-sample sign test,آزمون علامت یک‌نمونه‌ای,,
one-sample test,آزمون یک‏نمونه‌ای,,
one-sheet hyperboloid,هذلولی‌وار یکپارچه,,
one-sided alternative hypothesis,فرض مقابل یک‌طرفه,,
one-sided continuity,پیوستگی یک‌طرفه,,
one-sided derivative,مشتق یک‌طرفه,,
one-sided hypothesis = directional hypothesrs,فرض یک‌طرفه,,
one-sided limit,حد یک‌طرفه,,
one-sided sampling plan,طرح نمونه‌گیری یک‏طرفه,,
one-sided surface → unilateral surface,,,
one-sided test,آزمون یک‌طرفه,,
one-tailed test,آزمون تک‌‌دمی,,
one-to-one correspondence,تناظر یک‌به‌یک,,
one-to-one mapping → injective mapping,,,
one-valued function → single valued function,,,
one-way analysis of variance = one-way ANOVA,تحلیل واریانس یک‌طرفه,,
one-way ANOVA → one-way analysis of variance,,,
one-way classification,رده‌بندی یک‌طرفه,,
one-way test,آزمون یک‌طرفه,,
onto mapping → surjective mapping,,,
open ball,گوی باز,,
open base,پایۀ باز,,
open covering,پوشش باز,,
open disc,قرص باز,,
open interval,بازۀ باز,,
open manifold,خمینۀ باز,,
open mapping,نگاشت باز,,
open mapping theorem,قضیۀ نگاشت باز,,
open neighborhood,همسایگی باز,,
open problem,مسألۀ باز,,
open region,ناحیۀ باز,,
open set,مجموعۀ باز,,
open simplex,سادک باز,,
open subgroup,زیرگروه باز,,
operand,عملوند,,
operating characteristic curve,خم مشخصۀ عملکرد,,
operating function,تابع عمل‌کننده,,
operation,عمل,,
operation of a group,عمل گروه,,
operational calculus,حساب عملگری,,
operational method,روش عملگری,,
operational symbol,نماد عملیاتی,,
operations research,تحقیق در عملیات,,
operator,عملگر,,
operator algebra,جبر عملگرها,,
operator ring,حلقۀ عملگرها,,
operator topology,توپولوژی عملگری، توپولوژی عملگرها,,
opportunity loss,هزینۀ فرصت، زیان غفلت,,
optical property of conics,ویژگی اپتیکی مقطع‌های مخروطی,,
optics,اپتیک، نورشناسی,,
optimal allocation,تخصیص بهینه,,
optimal block design,طرح بلوکی بهینه,,
optimal control,کنترل بهینه,,
optimal estimator,برآوردگر بهینه,,
optimal policy,سیاست بهینه، خط مشی بهینه,,
optimal solution,جواب بهینه,,
optimal strategy,راهبرد بهینه,,
optimal system,دستگاه بهینه,,
optimal tree,درخت بهینه,,
optimality,بهینگی,,
optimality condition,شرط بهینگی,,
optimization,بهینه‌سازی,,
optimization theory,نظریۀ بهینه‌سازی,,
optimum,بهینه,,
optimum allocation,تخصیص بهینه,,
optional sampling,نمونه‌گیری اختیاری,,
OR function,تابع یا,,
OR gate,دریچۀ یا,,
orbit,مدار,,
orbit determination,تعیین مدار,,
orbit of a permutation group,مدار گروه جایگشتی,,
orbit space,فضای مداری,,
orbital elements,عنصرهای مداری,,
orbital velocity,سرعت مداری,,
orbiting rocket,موشک مدارگرد,,
orbit-stabilizer theorem,قضیۀ مدار-پایدارساز,,
order 1,مرتبه,,
order 2,ترتیب,,
order axioms,اصل موضوع‌های ترتیب,,
order of a branch point,مرتبۀ نقطۀ شاخه‏ای,,
order of a derivative,مرتبۀ مشتق,,
order of a differential equation,مرتبۀ معادلۀ دیفرانسیل,,
order of a group,مرتبۀ گروه,,
order of a matrix,مرتبۀ ماتریس,,
order of a pole,مرتبۀ قطب,,
order of a polynomial,مرتبۀ چندجمله‌ای,,
order of a radical → index of a radical,,,
order of an element,مرتبۀ عنصر,,
order of an infinitesimal,مرتبۀ یک بی‌نهایت‌کوچک,,
order of contact,مرتبۀ تماس,,
order of magnitude,مرتبۀ بزرگی,,
order preserving function,تابع ترتیب‌نگهدار، تابع حافظ ترتیب,,
order properties,ویژگی‌های ترتیب,,
order relation → ordering relation,,,
order statistic,آمارۀ ترتیبی,,
order theory,نظریۀ ترتیب,,
order topology,توپولوژی ترتیبی,,
ordered field,میدان مرتب,,
ordered n-tuple,nتایی مرتب,,
ordered observations,مشاهدات مرتب,,
ordered pair,جفت مرتب,,
ordered ring,حلقۀ مرتب,,
ordered set,مجموعۀ مرتب,,
ordered triple,سه‌تایی مرتب,,
ordering,ترتیب,,
ordering axioms,اصل موضوع‌های ترتیب,,
ordering relation = order relation,رابطۀ ترتیبی,,
ordinal → ordinal number,,,
ordinal data,داده‌های ترتیبی,,
ordinal number = ordinal,عدد ترتیبی,,
ordinary derivation,مشتق معمولی,,
ordinary differential equation,معادلۀ دیفرانسیل معمولی,,
ordinary differential operator,عملگر دیفرانسیل معمولی,,
ordinary discontinuity,ناپیوستگی معمولی,,
ordinary double point,نقطۀ دوگانۀ معمولی,,
ordinary point of a curve,نقطۀ معمولی خم,,
ordinary point of an analytic set,نقطۀ معمولی مجموعۀ تحلیلی,,
ordinary representation theory,نظریۀ نمایش معمولی,,
ordinary singularity,تکینۀ معمولی,,
ordinate of a point,عرض نقطه,,
ordinate set,مجموعۀ عرضی,,
orientable manifold,خمینۀ جهت‏پذیر,,
orientable surface,رویۀ جهت‏پذیر,,
orientated surface,رویۀ جهت‌دار,,
orientation 1,جهت,,
orientation 2,جهتدهی,,
orientation of a manifold 1,جهت خمینه,,
orientation of a manifold 2,جهتدهی خمینه,,
orientation-preserving mapping,نگاشت جهت‏نگهدار، نگاشت حافظ جهت,,
orientation-reversing mapping,نگاشت جهت‌برگردان,,
oriented atlas,اطلس جهت‌دار,,
oriented manifold,خمینۀ جهت‌دار,,
oriented simplex,سادک جهت‌دار,,
oriented tangent line,خط مماس جهت‌دار,,
origin,مبدأ,,
origin of a ray,مبدأ نیم‌خط,,
origin of coordinates,مبدأ مختصات,,
ortho complement → orthogonal complement,,,
orthocenter,مرکز ارتفاعی,,
orthogonal axonometry,محور سنجی قائم,,
orthogonal basis,پایۀ متعامد,,
orthogonal (linear) transformation,تبدیل (خطی) متعامد,,
orthogonal complement = ortho complement,مکمل متعامد,,
orthogonal component,مولفۀ قائم,,
orthogonal coordinate system,دستگاه مختصات متعامد، دستگاه مختصات قائم,,
orthogonal coordinates,مختصات متعامد,,
orthogonal curvilinear coordinate system,دستگاه مختصات خمیده‌خطی متعامد,,
orthogonal curvilinear coordinates,مختصات خمیده‌خطی متعامد,,
orthogonal designs,طرح‌های متعامد,,
orthogonal expansion,بسط متعامد,,
orthogonal functions,تابع‌های متعامد,,
orthogonal group,گروه متعامد، گروه تعامدی,,
orthogonal latin square = graeco-latin square,مربع لاتین متعامد,,
orthogonal lines → perpendicular lines,,,
orthogonal matrix,ماتریس متعامد,,
orthogonal planes,صفحه‌های متعامد,,
orthogonal polynomial(s),چندجمله‌ای(های) متعامد,,
orthogonal projection = orthographic projection 1,تصویر قائم,,
orthogonal projection = orthographic projection 2,تصویر افکن قائم,,
orthogonal projection = orthographic projection 3,تصویر افکنی قائم,,
orthogonal relation,رابطۀ تعامد,,
orthogonal series of functions,سری تابع‌های متعامد,,
orthogonal set,مجموعۀ متعامد,,
orthogonal system,دستگاه متعامد,,
orthogonal trajectory,مسیر قائم,,
orthogonal transformation group,گروه تبدیلات متعامد، گروه تبدیلات تعامدی,,
orthogonal triad,سه‌تایی متعامد,,
orthogonal vectors,بردارهای متعامد,,
orthogonalization 1,متعامدسازی,,
orthogonalization 2,متعامدساخت,,
orthogonalization theorem,قضیۀ متعامد‌سازی,,
orthographic projection→ orthogonal projection,,,
orthonormal basis,پایۀ یکامتعامد,,
orthonormal coordinates,مختصات یکامتعامد,,
orthonormal eigenfunctions,ویژه‏تابع‌های یکامتعامد,,
orthonormal functions,تابع‌های یکامتعامد,,
orthonormal set,مجموعۀ یکامتعامد,,
orthonormal system,دستگاه یکامتعامد,,
orthonormal vectors,بردارهای یکامتعامد,,
orthonormalization,یکامتعامدسازی,,
oscillating function,تابع نوسانی,,
oscillating series,سری نوسانی,,
oscillation,نوسان,,
oscillation of a function,نوسان تابع,,
oscillation of a function at a point = saltus of a function,نوسان تابع در یک نقطه,,
oscillator,نوسانگر,,
oscillograph,نوسان‌نگار,,
osculating circle = osculation circle,دایرۀ بوسان,,
osculating parabola,سهمی بوسان,,
osculating plane = osculation plane,صفحۀ بوسان,,
osculating sphere,کرۀ بوسان,,
osculation circle → osculating circle,,,
osculation plane → osculating plane,,,
osculatory interpolation,درونیابی بوسانی,,
Ostrogradski theorem,قضیۀ آستراگراتسکی,,
outcome,برآمد,,
outdegree,درجۀ خروجی,,
outer automorphism,خودریختی خارجی,,
outer content → exterior content,,,
outer harmonic measure,اندازۀ همساز خارجی، اندازۀ همساز برونی,,
outer measure,اندازۀ خارجی، اندازۀ برونی,,
outlier,دورافتاده,,
outlier data,داده‌های دورافتاده,,
output,خروجی,,
output data,داده‌های خروجی، برون‌داد,,
output function,تابع خروجی,,
oval,خاگی,,
oval → closed convex curve,,,
oval of Cassini = Cassini oval,خاگی کاسینی,,
ovaloid,خاگی‌وار,,
overall mean → grand mean,,,
overcoverage,بیش‌پوشانی,,
overdamping,تند‌میرایی,,
overdetermined system,دستگاه فرامعیّن,,
overestimation,بیش‌برآورد,,
overfield,زبرمیدان,,
overlapping intervals,بازه‌های متداخل,,
ovoid,خاگوار,,
p-adic integer,ای  pعدد صحیح,,
p-adic number,ای pعدد,,
pair,جفت، زوج,,
paired comparison,مقایسۀ جفتی,,
pairwise disjoint,دوبه‌دو مجزا,,
palindrome word,واژۀ خودمقلوب,,
pantograph,شبیه‌نگار,,
Pappus theorem,قضیۀ پایوس,,
parabola,سهمی,,
parabolic (partial) differential equation,معادله دیفرانسیل (جزئی) سهموی,,
parabolic coordinates,مختصات سهموی,,
parabolic cylinder,استوانۀ سهموی,,
parabolic cylindrical surface,رویهْ استوانه‌ای سهموی,,
parabolic geometry,هندسۀ سهموی,,
parabolic point,نقطۀ سهموی,,
parabolic segment,قطعۀ سهموی,,
parabolic spiral,مارپیچ سهموی,,
paraboloid,سهمی‌وار,,
paraboloid of revolution,سهمی‌وار دوّار، سهمی‌وار دورانی,,
paracompact space,فضای پیرافشرده,,
paradox,پارادوکس,,
paradoxes of Zeno,پارادوکس‌های زنون,,
parallax,اختلاف ‌منظر,,
parallel axiom → axiom of parallels,,,
parallel coordinates,مختصات موازی,,
parallel curves,خم‌های موازی,,
parallel displacement,تغییر مکان موازی,,
parallel lines,خط‌های موازی,,
parallel planes,صفحه‌های موازی,,
parallel postulate → axiom of parallels,,,
parallel projection 1,تصویر موازی,,
parallel projection 2,تصویرافکنی موازی,,
parallel surfaces,رویه‌های موازی,,
parallel vectors,بردارهای موازی,,
parallelepiped,متوازی‌السطوح,,
parallelogram identity → parallelogram law,,,
parallelogram law = parallelogram identity,قانون متوازی‌الاضلاع,,
parallelogram of forces,متوازی‌الاضلاع نیروها,,
parallelogram of vectors,متوازی‌الاضلاع بردارها,,
parameter,پارامتر,,
parameter space for a probability distribution,فضای پارامتری توزیع احتمال,,
parameterized set,مجموعهْ پارامتری‌شده,,
